global_index,image_path,label,angle_degrees,original_source,relative_path,dataset,source_index,notes
48,images/newmask_train400_0048.jpg,head_right,77.254097,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000473\BEE24-29_000022_det03_tr0017.jpg,000473/BEE24-29_000022_det03_tr0017.jpg,base300,48,
49,images/newmask_train400_0049.jpg,head_left,87.961868,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000442\BEE24-27_000033_det12_tr0002.jpg,000442/BEE24-27_000033_det12_tr0002.jpg,base300,49,
50,images/newmask_train400_0050.jpg,head_left,64.188171,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000745\BEE24-33_000568_det29_tr0020.jpg,000745/BEE24-33_000568_det29_tr0020.jpg,base300,50,
51,images/newmask_train400_0051.jpg,unclear,80.141052,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000242\BEE24-18_000073_det05_tr0039.jpg,000242/BEE24-18_000073_det05_tr0039.jpg,base300,51,
52,images/newmask_train400_0052.jpg,head_left,85.008759,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000636\BEE24-33_000488_det32_tr0009.jpg,000636/BEE24-33_000488_det32_tr0009.jpg,base300,52,
53,images/newmask_train400_0053.jpg,unclear,87.991776,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000135\BEE24-14_000223_det17_tr0017.jpg,000135/BEE24-14_000223_det17_tr0017.jpg,base300,53,
54,images/newmask_train400_0054.jpg,head_left,21.565065,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000642\BEE24-33_000108_det32_tr0001.jpg,000642/BEE24-33_000108_det32_tr0001.jpg,base300,54,
55,images/newmask_train400_0055.jpg,head_right,-1.882719,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000044\BEE24-07_000037_det01_tr0019.jpg,000044/BEE24-07_000037_det01_tr0019.jpg,base300,55,
56,images/newmask_train400_0056.jpg,head_right,57.226929,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000085\BEE24-10_000055_det11_tr0011.jpg,000085/BEE24-10_000055_det11_tr0011.jpg,base300,56,
57,images/newmask_train400_0057.jpg,head_left,110.512123,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000806\BEE24-33_001047_det28_tr0017.jpg,000806/BEE24-33_001047_det28_tr0017.jpg,base300,57,
58,images/newmask_train400_0058.jpg,head_left,-7.445078,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000777\BEE24-33_000997_det25_tr0012.jpg,000777/BEE24-33_000997_det25_tr0012.jpg,base300,58,
59,images/newmask_train400_0059.jpg,head_left,95.974327,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000100\BEE24-11_000025_det04_tr0001.jpg,000100/BEE24-11_000025_det04_tr0001.jpg,base300,59,
60,images/newmask_train400_0060.jpg,head_left,74.637413,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001352\BEE24-33_002916_det19_tr0013.jpg,001352/BEE24-33_002916_det19_tr0013.jpg,base300,60,
61,images/newmask_train400_0061.jpg,head_left,-25.67701,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000953\BEE24-33_001337_det24_tr0007.jpg,000953/BEE24-33_001337_det24_tr0007.jpg,base300,61,
62,images/newmask_train400_0062.jpg,head_left,62.142281,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001354\BEE24-33_002831_det32_tr0006.jpg,001354/BEE24-33_002831_det32_tr0006.jpg,base300,62,
63,images/newmask_train400_0063.jpg,head_left,0.739224,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001048\BEE24-33_001938_det12_tr0018.jpg,001048/BEE24-33_001938_det12_tr0018.jpg,base300,63,
64,images/newmask_train400_0064.jpg,head_left,111.704941,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000990\BEE24-33_001475_det17_tr0013.jpg,000990/BEE24-33_001475_det17_tr0013.jpg,base300,64,
65,images/newmask_train400_0065.jpg,head_left,8.465748,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000371\BEE24-24_000050_det07_tr0021.jpg,000371/BEE24-24_000050_det07_tr0021.jpg,base300,65,
66,images/newmask_train400_0066.jpg,head_right,7.595582,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000787\BEE24-33_000256_det27_tr0007.jpg,000787/BEE24-33_000256_det27_tr0007.jpg,base300,66,
67,images/newmask_train400_0067.jpg,head_right,-4.827354,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000900\BEE24-33_001245_det17_tr0006.jpg,000900/BEE24-33_001245_det17_tr0006.jpg,base300,67,
68,images/newmask_train400_0068.jpg,head_right,71.855782,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000826\BEE24-33_001122_det15_tr0010.jpg,000826/BEE24-33_001122_det15_tr0010.jpg,base300,68,
69,images/newmask_train400_0069.jpg,head_right,-4.988912,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001065\BEE24-33_001845_det34_tr0010.jpg,001065/BEE24-33_001845_det34_tr0010.jpg,base300,69,
70,images/newmask_train400_0070.jpg,head_left,57.67197,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001205\BEE24-33_002359_det34_tr0000.jpg,001205/BEE24-33_002359_det34_tr0000.jpg,base300,70,
71,images/newmask_train400_0071.jpg,head_right,66.329132,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000276\BEE24-20_000005_det02_tr0003.jpg,000276/BEE24-20_000005_det02_tr0003.jpg,base300,71,
72,images/newmask_train400_0072.jpg,unclear,3.161626,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000215\BEE24-17_000063_det00_tr0031.jpg,000215/BEE24-17_000063_det00_tr0031.jpg,base300,72,
73,images/newmask_train400_0073.jpg,head_right,31.142611,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000470\BEE24-29_000063_det00_tr0038.jpg,000470/BEE24-29_000063_det00_tr0038.jpg,base300,73,
74,images/newmask_train400_0074.jpg,head_right,23.138311,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000362\BEE24-24_000027_det05_tr0021.jpg,000362/BEE24-24_000027_det05_tr0021.jpg,base300,74,
75,images/newmask_train400_0075.jpg,head_right,90.109299,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000117\BEE24-14_000257_det09_tr0028.jpg,000117/BEE24-14_000257_det09_tr0028.jpg,base300,75,
76,images/newmask_train400_0076.jpg,head_right,125.868675,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000106\BEE24-14_000148_det02_tr0026.jpg,000106/BEE24-14_000148_det02_tr0026.jpg,base300,76,
77,images/newmask_train400_0077.jpg,unclear,87.766441,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000314\BEE24-22_000014_det07_tr0006.jpg,000314/BEE24-22_000014_det07_tr0006.jpg,base300,77,
78,images/newmask_train400_0078.jpg,head_right,27.439005,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000828\BEE24-33_001042_det39_tr0001.jpg,000828/BEE24-33_001042_det39_tr0001.jpg,base300,78,
79,images/newmask_train400_0079.jpg,head_right,69.695244,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000880\BEE24-33_001103_det37_tr0010.jpg,000880/BEE24-33_001103_det37_tr0010.jpg,base300,79,
80,images/newmask_train400_0080.jpg,head_right,-2.148221,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001296\BEE24-33_002650_det32_tr0007.jpg,001296/BEE24-33_002650_det32_tr0007.jpg,base300,80,
81,images/newmask_train400_0081.jpg,head_right,13.188808,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000939\BEE24-33_001189_det40_tr0002.jpg,000939/BEE24-33_001189_det40_tr0002.jpg,base300,81,
82,images/newmask_train400_0082.jpg,head_left,0.515376,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000518\BEE24-33_000025_det05_tr0006.jpg,000518/BEE24-33_000025_det05_tr0006.jpg,base300,82,
83,images/newmask_train400_0083.jpg,head_left,112.569489,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000543\BEE24-33_000070_det22_tr0019.jpg,000543/BEE24-33_000070_det22_tr0019.jpg,base300,83,
84,images/newmask_train400_0084.jpg,head_right,77.618835,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000718\BEE24-33_000546_det27_tr0009.jpg,000718/BEE24-33_000546_det27_tr0009.jpg,base300,84,
85,images/newmask_train400_0085.jpg,head_left,39.158199,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001063\BEE24-33_001841_det33_tr0007.jpg,001063/BEE24-33_001841_det33_tr0007.jpg,base300,85,
86,images/newmask_train400_0086.jpg,head_right,102.268745,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000470\BEE24-29_000046_det00_tr0027.jpg,000470/BEE24-29_000046_det00_tr0027.jpg,base300,86,
87,images/newmask_train400_0087.jpg,head_right,66.855286,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000119\BEE24-14_000044_det16_tr0010.jpg,000119/BEE24-14_000044_det16_tr0010.jpg,base300,87,
88,images/newmask_train400_0088.jpg,head_left,20.542591,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001328\BEE24-33_002736_det28_tr0009.jpg,001328/BEE24-33_002736_det28_tr0009.jpg,base300,88,
89,images/newmask_train400_0089.jpg,head_right,98.22374,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000422\BEE24-26_000073_det08_tr0008.jpg,000422/BEE24-26_000073_det08_tr0008.jpg,base300,89,
90,images/newmask_train400_0090.jpg,head_left,-12.237492,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000230\BEE24-17_000074_det04_tr0017.jpg,000230/BEE24-17_000074_det04_tr0017.jpg,base300,90,
91,images/newmask_train400_0091.jpg,head_right,99.779449,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000585\BEE24-33_000826_det15_tr0015.jpg,000585/BEE24-33_000826_det15_tr0015.jpg,base300,91,
92,images/newmask_train400_0092.jpg,head_left,86.336914,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000143\BEE24-14_000150_det25_tr0004.jpg,000143/BEE24-14_000150_det25_tr0004.jpg,base300,92,
93,images/newmask_train400_0093.jpg,head_right,8.485072,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000608\BEE24-33_000067_det33_tr0000.jpg,000608/BEE24-33_000067_det33_tr0000.jpg,base300,93,
94,images/newmask_train400_0094.jpg,head_right,72.368996,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000179\BEE24-15_000059_det12_tr0003.jpg,000179/BEE24-15_000059_det12_tr0003.jpg,base300,94,
95,images/newmask_train400_0095.jpg,head_right,124.471001,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000080\BEE24-10_000097_det07_tr0015.jpg,000080/BEE24-10_000097_det07_tr0015.jpg,base300,95,
96,images/newmask_train400_0096.jpg,head_right,15.527372,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001403\BEE24-33_003050_det35_tr0000.jpg,001403/BEE24-33_003050_det35_tr0000.jpg,base300,96,
97,images/newmask_train400_0097.jpg,head_right,36.181953,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000074\BEE24-10_000148_det01_tr0023.jpg,000074/BEE24-10_000148_det01_tr0023.jpg,base300,97,
98,images/newmask_train400_0098.jpg,unclear,-7.999773,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000639\BEE24-33_000773_det40_tr0021.jpg,000639/BEE24-33_000773_det40_tr0021.jpg,base300,98,
99,images/newmask_train400_0099.jpg,head_left,66.345673,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000138\BEE24-14_000263_det17_tr0023.jpg,000138/BEE24-14_000263_det17_tr0023.jpg,base300,99,
100,images/newmask_train400_0100.jpg,head_right,62.858528,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000082\BEE24-10_000024_det09_tr0004.jpg,000082/BEE24-10_000024_det09_tr0004.jpg,base300,100,
101,images/newmask_train400_0101.jpg,head_right,48.026184,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001906\BEE24-33_004243_det02_tr0017.jpg,001906/BEE24-33_004243_det02_tr0017.jpg,base300,101,
102,images/newmask_train400_0102.jpg,head_left,58.510056,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000497\BEE24-31_000033_det05_tr0006.jpg,000497/BEE24-31_000033_det05_tr0006.jpg,base300,102,
103,images/newmask_train400_0103.jpg,head_right,67.817818,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\002204\BEE24-13_000231_det07_tr0035.jpg,002204/BEE24-13_000231_det07_tr0035.jpg,base300,103,
104,images/newmask_train400_0104.jpg,head_left,-41.552513,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000350\BEE24-23_000064_det04_tr0012.jpg,000350/BEE24-23_000064_det04_tr0012.jpg,base300,104,
105,images/newmask_train400_0105.jpg,head_left,85.68367,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000057\BEE24-08_000062_det01_tr0033.jpg,000057/BEE24-08_000062_det01_tr0033.jpg,base300,105,
106,images/newmask_train400_0106.jpg,head_right,2.265722,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000762\BEE24-33_000560_det41_tr0019.jpg,000762/BEE24-33_000560_det41_tr0019.jpg,base300,106,
107,images/newmask_train400_0107.jpg,head_right,18.028889,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000206\BEE24-15_000193_det11_tr0009.jpg,000206/BEE24-15_000193_det11_tr0009.jpg,base300,107,
108,images/newmask_train400_0108.jpg,unclear,27.70616,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\002186\BEE24-35_004862_det08_tr0014.jpg,002186/BEE24-35_004862_det08_tr0014.jpg,base300,108,
109,images/newmask_train400_0109.jpg,head_right,26.963743,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000339\BEE24-23_000033_det02_tr0011.jpg,000339/BEE24-23_000033_det02_tr0011.jpg,base300,109,
110,images/newmask_train400_0110.jpg,unclear,-19.00754,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\002047\BEE24-35_002000_det09_tr0004.jpg,002047/BEE24-35_002000_det09_tr0004.jpg,base300,110,
111,images/newmask_train400_0111.jpg,head_right,76.314339,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000913\BEE24-33_000413_det11_tr0011.jpg,000913/BEE24-33_000413_det11_tr0011.jpg,base300,111,
112,images/newmask_train400_0112.jpg,head_right,58.569408,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\002137\BEE24-35_003888_det08_tr0010.jpg,002137/BEE24-35_003888_det08_tr0010.jpg,base300,112,
113,images/newmask_train400_0113.jpg,head_left,7.014572,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000431\BEE24-27_000018_det05_tr0013.jpg,000431/BEE24-27_000018_det05_tr0013.jpg,base300,113,
